ZM 1 imOhms X,ZM 1 imOhms Y
3570000000,-149.5440300250749
3580000000,-149.1980761838885
3590000000,-148.7864300155343
3600000000,-148.4450616132858
3610000000,-148.17280305267
3620000000,-147.8351828031355
3630000000,-147.4996024310998
3640000000,-147.1660449078818
3650000000,-146.8344933900651
3660000000,-146.5049312179717
3670000000,-146.1773419116399
3680000000,-145.7872438071474
3690000000,-145.5280168643301
3700000000,-145.2062490438124
3710000000,-144.8863899249154
3720000000,-144.5684238943508
3730000000,-144.2523355038303
3740000000,-143.9381094702802
3750000000,-143.625730671516
3760000000,-143.3151841455425
3770000000,-142.9450850437729
3780000000,-142.6995288491647
3790000000,-142.3943909341608
3800000000,-142.0910269989338
3810000000,-141.7894228481056
3820000000,-141.4895644346227
3830000000,-141.1914378570557
3840000000,-140.8950293569866
3850000000,-140.6003253181477
3860000000,-140.3073122645585
3870000000,-140.0159768574717
3880000000,-139.668423086403
3890000000,-139.4382863114434
3900000000,-139.0946240243132
3910000000,-138.8101657958502
3920000000,-138.5840071364803
3930000000,-138.30246502379
3940000000,-138.022510912313
3950000000,-137.7441325077247
3960000000,-137.4673176382265
3970000000,-137.1920542535102
3980000000,-136.863363208392
3990000000,-136.6461343352758
4000000000,-136.3754542956466
4010000000,-136.1062787247337
4020000000,-135.8385961578704
4030000000,-135.5723952427638
4040000000,-135.3076647379215
4050000000,-135.044393512918
4060000000,-134.7825705450028
4070000000,-134.4696544164233
4080000000,-134.2632258256174
4090000000,-134.0056825603682
4100000000,-133.749544522191
4110000000,-133.4433009160608
